Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),absolute_accel,Activity,Position
6.313646250E-1,3.645184936E-1,-9.60E-02,-1.56E-01,4.077924093E-1,Walking,Hand
6.413366250E-1,4.176944980E-1,-1.16E-01,7.806091368E-2,4.404495694E-1,Walking,Hand
6.513076250E-1,4.286952668E-1,-1.22E-01,2.323408681E-1,5.025979130E-1,Walking,Hand
6.612796250E-1,3.675207830E-1,-1.50E-01,3.553925979E-1,5.328408894E-1,Walking,Hand
6.712516250E-1,3.621298329E-1,-1.75E-01,4.440334636E-1,5.991885275E-1,Walking,Hand
6.812226250E-1,3.616373877E-1,-1.61E-01,5.451750916E-1,6.736514309E-1,Walking,Hand
6.911946250E-1,3.456420735E-1,-1.39E-01,5.180247152E-1,6.380476221E-1,Walking,Hand
7.011656250E-1,3.275251701E-1,-1.44E-01,4.713270968E-1,5.916607290E-1,Walking,Hand
7.111376250E-1,3.471615090E-1,-1.81E-01,4.211053616E-1,5.749201131E-1,Walking,Hand
7.211086250E-1,3.393751374E-1,-2.15E-01,2.728041852E-1,4.858368899E-1,Walking,Hand
7.310806250E-1,3.458174534E-1,-2.49E-01,-2.59E-02,4.266941569E-1,Walking,Hand
7.410526250E-1,3.399526230E-1,-2.80E-01,-2.97E-01,5.311092217E-1,Walking,Hand
7.510236250E-1,3.595227421E-1,-3.37E-01,-5.41E-01,7.314824040E-1,Walking,Hand
7.609956250E-1,3.798295739E-1,-3.96E-01,-9.43E-01,1.090582336E0,Walking,Hand
7.709666250E-1,3.797366032E-1,-4.97E-01,-1.32E+00,1.459106340E0,Walking,Hand
7.809386250E-1,3.156187041E-1,-6.57E-01,-1.75E+00,1.891815432E0,Walking,Hand
7.909106250E-1,1.391608181E-1,-8.83E-01,-2.24E+00,2.409526502E0,Walking,Hand
8.008816250E-1,-1.85E-01,-1.12E+00,-2.70E+00,2.930838441E0,Walking,Hand
8.108536250E-1,-4.73E-01,-1.36E+00,-3.24E+00,3.549710209E0,Walking,Hand
8.208246250E-1,-6.46E-01,-1.53E+00,-3.80E+00,4.146241978E0,Walking,Hand
8.307966250E-1,-6.80E-01,-1.63E+00,-4.14E+00,4.503215563E0,Walking,Hand
8.407686250E-1,-7.13E-01,-1.64E+00,-4.47E+00,4.815002101E0,Walking,Hand
8.507396250E-1,-8.39E-01,-1.71E+00,-4.50E+00,4.886000786E0,Walking,Hand
8.607116250E-1,-7.67E-01,-1.88E+00,-4.06E+00,4.535457809E0,Walking,Hand
8.706826250E-1,-5.68E-01,-2.01E+00,-3.49E+00,4.073036202E0,Walking,Hand
8.806546250E-1,-7.37E-01,-2.02E+00,-2.84E+00,3.563202149E0,Walking,Hand
8.906256250E-1,-9.41E-01,-2.12E+00,-2.06E+00,3.099048479E0,Walking,Hand
9.005976250E-1,-1.03E+00,-2.22E+00,-1.39E+00,2.818994376E0,Walking,Hand
9.105696250E-1,-1.13E+00,-2.16E+00,-1.28E+00,2.750429690E0,Walking,Hand
9.205406250E-1,-8.33E-01,-1.94E+00,-1.57E+00,2.628465462E0,Walking,Hand
9.305126250E-1,-3.98E-01,-1.69E+00,-1.74E+00,2.457646865E0,Walking,Hand
9.404836250E-1,-1.29E-01,-1.52E+00,-1.62E+00,2.222317561E0,Walking,Hand
9.504556250E-1,8.947190121E-2,-1.42E+00,-1.58E+00,2.125632418E0,Walking,Hand
9.604276250E-1,5.571402490E-2,-1.38E+00,-1.64E+00,2.143153414E0,Walking,Hand
9.703986250E-1,-1.37E-01,-1.48E+00,-1.24E+00,1.936456964E0,Walking,Hand
9.803706250E-1,-3.43E-02,-1.73E+00,-4.93E-01,1.798140972E0,Walking,Hand
9.903416250E-1,-8.58E-03,-1.94E+00,3.398746723E-1,1.972066077E0,Walking,Hand
1.000313625E0,2.333845961E-1,-2.16E+00,7.917048132E-1,2.309324019E0,Walking,Hand
1.010285625E0,2.926136747E-1,-2.36E+00,6.259812731E-1,2.456580843E0,Walking,Hand
1.020256625E0,3.029728943E-1,-2.51E+00,1.658568567E-1,2.536960808E0,Walking,Hand
1.030228625E0,6.642121232E-1,-2.63E+00,-5.55E-01,2.764945056E0,Walking,Hand
1.040199625E0,1.075475451E0,-2.61E+00,-1.18E+00,3.062806054E0,Walking,Hand
1.050171625E0,1.621400156E0,-2.55E+00,-1.56E+00,3.399880892E0,Walking,Hand
1.060143625E0,2.182499847E0,-2.32E+00,-1.85E+00,3.681129171E0,Walking,Hand
1.070114625E0,2.600102434E0,-1.91E+00,-2.23E+00,3.920483763E0,Walking,Hand
1.080086625E0,2.297279229E0,-1.66E+00,-1.92E+00,3.421992778E0,Walking,Hand
1.090057625E0,1.328663397E0,-1.71E+00,-1.28E+00,2.513196320E0,Walking,Hand
1.100029625E0,5.071161497E-1,-2.00E+00,-5.28E-01,2.125112566E0,Walking,Hand
1.110000625E0,-3.36E-01,-2.32E+00,6.317875582E-1,2.431781817E0,Walking,Hand
1.119972625E0,-9.29E-01,-2.57E+00,1.537906010E0,3.136049135E0,Walking,Hand
1.129944625E0,-1.04E+00,-2.75E+00,2.083622553E0,3.606862227E0,Walking,Hand
1.139915625E0,-9.81E-01,-2.79E+00,2.530508873E0,3.893434835E0,Walking,Hand
1.149887625E0,-4.96E-01,-2.76E+00,2.604848034E0,3.828041489E0,Walking,Hand
1.159858625E0,-2.02E-01,-2.67E+00,2.432431771E0,3.620960921E0,Walking,Hand
1.169830625E0,1.272161168E-1,-2.53E+00,2.189033818E0,3.346829101E0,Walking,Hand
1.179802625E0,4.758353001E-1,-2.14E+00,1.931541152E0,2.924622603E0,Walking,Hand
1.189773625E0,6.534479839E-1,-1.47E+00,1.489081174E0,2.189554069E0,Walking,Hand
1.199745625E0,4.573592681E-1,-8.72E-01,8.332913804E-1,1.289822476E0,Walking,Hand
1.209716625E0,-1.07E-01,-5.03E-01,4.539076567E-2,5.158058301E-1,Walking,Hand
1.219688625E0,-9.46E-01,-4.30E-01,-5.66E-01,1.183396590E0,Walking,Hand
1.229660625E0,-1.75E+00,-6.20E-01,-5.27E-01,1.932391543E0,Walking,Hand
1.239631625E0,-2.56E+00,-8.06E-01,-7.48E-02,2.681329466E0,Walking,Hand
1.249603625E0,-3.22E+00,-9.06E-01,3.670531154E-1,3.366466507E0,Walking,Hand
1.259574625E0,-3.65E+00,-9.71E-01,7.833818865E-1,3.852680360E0,Walking,Hand
1.269546625E0,-3.84E+00,-9.56E-01,9.967456162E-1,4.083650880E0,Walking,Hand
1.279518625E0,-3.97E+00,-1.01E+00,1.071038876E0,4.233699034E0,Walking,Hand
1.289489625E0,-3.91E+00,-9.40E-01,1.223766688E0,4.205488197E0,Walking,Hand
1.299461625E0,-3.63E+00,-7.87E-01,1.482623509E0,3.996213681E0,Walking,Hand
1.309432625E0,-3.20E+00,-5.98E-01,1.606321356E0,3.630992881E0,Walking,Hand
1.319404625E0,-2.89E+00,-4.07E-01,1.736754319E0,3.394753004E0,Walking,Hand
1.329375625E0,-2.76E+00,-2.46E-01,1.874663531E0,3.342630893E0,Walking,Hand
1.339347625E0,-2.86E+00,-1.72E-01,2.061527095E0,3.528370631E0,Walking,Hand
1.349319625E0,-3.17E+00,-1.01E-01,2.235900421E0,3.879461196E0,Walking,Hand
1.359290625E0,-3.60E+00,-1.22E-02,2.488969376E0,4.376305711E0,Walking,Hand
1.369262625E0,-3.91E+00,1.251821628E-1,2.621370219E0,4.705852725E0,Walking,Hand
1.379233625E0,-4.12E+00,3.809725584E-1,2.734412393E0,4.963406016E0,Walking,Hand
1.389205625E0,-4.08E+00,7.808908264E-1,2.573305814E0,4.883546306E0,Walking,Hand
1.399177625E0,-3.88E+00,1.204039351E0,2.209019601E0,4.623090763E0,Walking,Hand
1.409148625E0,-3.77E+00,1.433074058E0,1.882578907E0,4.448390646E0,Walking,Hand
1.419120625E0,-3.67E+00,1.457744776E0,1.713775638E0,4.301306713E0,Walking,Hand
1.429091625E0,-3.26E+00,1.451211682E0,1.670320155E0,3.942644806E0,Walking,Hand
1.439063625E0,-2.74E+00,1.550826310E0,1.669364720E0,3.566613551E0,Walking,Hand
1.449035625E0,-2.24E+00,1.715596461E0,1.772409178E0,3.330456763E0,Walking,Hand
1.459006625E0,-1.85E+00,1.878213961E0,2.001863276E0,3.312891048E0,Walking,Hand
1.468978625E0,-1.52E+00,2.008877596E0,1.829401404E0,3.113356784E0,Walking,Hand
1.478949625E0,-1.31E+00,2.078605350E0,1.634431261E0,2.949562143E0,Walking,Hand
1.488921750E0,-1.26E+00,2.061171876E0,1.457278607E0,2.822805751E0,Walking,Hand
1.498892750E0,-1.18E+00,2.019888780E0,1.394915859E0,2.723368970E0,Walking,Hand
1.508864750E0,-1.06E+00,2.040570089E0,1.378466326E0,2.680305915E0,Walking,Hand
1.518836750E0,-1.02E+00,1.988498295E0,1.369766985E0,2.622740556E0,Walking,Hand
1.528807750E0,-9.39E-01,1.958145691E0,1.405572263E0,2.586912784E0,Walking,Hand
1.538779750E0,-6.63E-01,2.037792662E0,1.312251433E0,2.512910371E0,Walking,Hand
1.548750750E0,-4.84E-01,2.094135847E0,1.148204874E0,2.436828953E0,Walking,Hand
1.558722750E0,-6.10E-01,1.926943194E0,1.173585883E0,2.337220530E0,Walking,Hand
1.568694750E0,-8.73E-01,1.938554010E0,1.059079859E0,2.375092670E0,Walking,Hand
1.578665750E0,-1.24E+00,2.248536839E0,5.863035294E-1,2.634264181E0,Walking,Hand
1.588637750E0,-1.67E+00,2.295204052E0,2.259807055E-1,2.847990214E0,Walking,Hand
1.598608750E0,-1.81E+00,2.187700653E0,-2.19E-01,2.848240819E0,Walking,Hand
1.608580750E0,-1.71E+00,2.171081404E0,-5.28E-01,2.812327943E0,Walking,Hand
1.618551750E0,-1.51E+00,2.248180451E0,-5.39E-01,2.762764075E0,Walking,Hand
1.628523750E0,-1.34E+00,2.276148561E0,-3.58E-01,2.666104056E0,Walking,Hand
1.638495750E0,-1.21E+00,2.173324104E0,-2.44E-01,2.498147753E0,Walking,Hand
1.648466750E0,-1.10E+00,2.027281415E0,-2.64E-01,2.320659986E0,Walking,Hand
1.658438750E0,-9.53E-01,1.932196625E0,-1.86E-01,2.162454899E0,Walking,Hand
1.668409750E0,-8.08E-01,1.848925257E0,-1.09E-01,2.020530800E0,Walking,Hand
1.678381750E0,-7.13E-01,1.795531115E0,-7.63E-02,1.933426274E0,Walking,Hand
1.688353750E0,-6.92E-01,1.663648920E0,-4.75E-02,1.802292325E0,Walking,Hand
1.698324750E0,-6.71E-01,1.508130526E0,-5.45E-03,1.650517408E0,Walking,Hand
1.708296750E0,-6.97E-01,1.380112171E0,1.942445040E-2,1.546433242E0,Walking,Hand
1.718267750E0,-7.60E-01,1.235568123E0,5.172330022E-2,1.451376077E0,Walking,Hand
1.728239750E0,-7.36E-01,1.091090148E0,2.175526750E-1,1.333807920E0,Walking,Hand
1.738211750E0,-6.41E-01,9.643128651E-1,4.142538866E-1,1.229751273E0,Walking,Hand
1.748182750E0,-4.91E-01,8.890001428E-1,5.544803506E-1,1.156892242E0,Walking,Hand
1.758154750E0,-4.22E-01,8.096212667E-1,6.077885386E-1,1.096657353E0,Walking,Hand
1.768125750E0,-3.59E-01,6.881433150E-1,7.035957518E-1,1.047510615E0,Walking,Hand
1.778097750E0,-2.98E-01,5.653544176E-1,7.489724842E-1,9.845203185E-1,Walking,Hand
1.788068750E0,-1.86E-01,4.983786553E-1,7.488584635E-1,9.186074233E-1,Walking,Hand
1.798040750E0,-5.57E-02,4.765778965E-1,7.248591515E-1,8.692834663E-1,Walking,Hand
1.808012750E0,1.507938445E-2,4.666367528E-1,6.198592383E-1,7.760172177E-1,Walking,Hand
1.817983750E0,1.530742586E-2,4.073468632E-1,4.206264746E-1,5.857409115E-1,Walking,Hand
1.827955750E0,-1.01E-01,3.082842126E-1,2.152360082E-1,3.893251144E-1,Walking,Hand
1.837926750E0,-2.92E-01,1.493647850E-1,5.910657942E-2,3.328646891E-1,Walking,Hand
1.847898750E0,-3.27E-01,-3.71E-02,-5.27E-02,3.336198784E-1,Walking,Hand
1.857870750E0,-1.73E-01,-1.62E-01,-1.41E-01,2.760145669E-1,Walking,Hand
1.867841750E0,1.033542144E-1,-2.45E-01,-1.98E-01,3.318030392E-1,Walking,Hand
1.877813750E0,3.826757061E-1,-2.64E-01,-2.89E-01,5.475879773E-1,Walking,Hand
1.887784750E0,6.152832073E-1,-3.07E-01,-3.65E-01,7.781071906E-1,Walking,Hand
1.897756750E0,7.133106083E-1,-3.96E-01,-3.36E-01,8.823182894E-1,Walking,Hand
1.907728750E0,7.790900302E-1,-4.97E-01,-3.44E-01,9.861196472E-1,Walking,Hand
